state,city,city_pop
 Alabama,Madison,51593
 Alabama,Decatur,54445
 Alabama,Auburn,66259
 Alabama,Dothan,68941
 Alabama,Hoover,85768
 Alabama,Tuscaloosa,101129
 Alabama,Mobile,188720
 Alabama,Montgomery,198525
 Alabama,Huntsville,200574
 Alabama,Birmingham,209403
 Alaska,Anchorage,288000
 Arizona,Queen Creek town,50890
 Arizona,Maricopa,52127
 Arizona,Lake Havasu,55865
 Arizona,Casa Grande,58632
 Arizona,Flagstaff,75038
 Arizona,Buckeye,79620
 Arizona,Goodyear,86840
 Arizona,Avondale,87931
 Arizona,Yuma,98285
 Arizona,Surprise,141664
 Arizona,Peoria,175961
 Arizona,Tempe,195805
 Arizona,Glendale,252381
 Arizona,Gilbert town,254114
 Arizona,Scottsdale,258069
 Arizona,Chandler,261165
 Arizona,Mesa,518012
 Arizona,Tucson,548073
 Arizona,Phoenix,1680992
 Arkansas,Bentonville,54909
 Arkansas,North Little Rock,65903
 Arkansas,Conway,67638
 Arkansas,Rogers,68669
 Arkansas,Jonesboro,78394
 Arkansas,Springdale,81125
 Arkansas,Fayetteville,87590
 Arkansas,Fort Smith,87891
 Arkansas,Little Rock,197312
 California,Cerritos,49859
 California,Aliso Viejo,50887
 California,Beaumont,51063
 California,Placentia,51233
 California,Glendora,51544
 California,Palm Desert,53275
 California,West Sacramento,53519
 California,Delano,53573
 California,Watsonville,53856
 California,Yucaipa,53921
 California,Paramount,53955
 California,Rosemead,54058
 California,Colton,54824
 California,Cathedral,55007
 California,Fountain Valley,55357
 California,Highland,55417
 California,Novato,55516
 California,Diamond Bar,55720
 California,Huntington Park,57509
 California,Hanford,57703
 California,Arcadia,57939
 California,Santee,58081
 California,San Rafael,58440
 California,Gilroy,59032
 California,La Mesa,59249
 California,Cupertino,59276
 California,Gardena,59329
 California,Porterville,59599
 California,Monterey Park,59669
 California,La Habra,60513
 California,Petaluma,60520
 California,Woodland,60548
 California,National,61394
 California,Montebello,61954
 California,Pico Rivera,62027
 California,Encinitas,62709
 California,Eastvale,64157
 California,Brentwood,64474
 California,San Clemente,64558
 California,Santa Cruz,64608
 California,Dublin,64826
 California,Palo Alto,65364
 California,Tulare,65496
 California,Madera,65860
 California,Laguna Niguel,66385
 California,Redondo Beach,66749
 California,Yuba,67010
 California,Lodi,67586
 California,Yorba Linda,67644
 California,South San Francisco,67789
 California,Rocklin,68823
 California,Lake Elsinore,69283
 California,Davis,69413
 California,Lynwood,69887
 California,Camarillo,69888
 California,Walnut Creek,70166
 California,Redlands,71513
 California,Pittsburg,72588
 California,Apple Valley town,73453
 California,Turlock,73631
 California,Union,74107
 California,Rancho Cordova,75087
 California,Baldwin Park,75251
 California,San Ramon,75995
 California,Bellflower,76435
 California,Upland,77140
 California,Alameda,77624
 California,Napa,78130
 California,Perris,79291
 California,Lakewood,79307
 California,Tustin,79348
 California,Folsom,81328
 California,Pleasanton,81777
 California,Buena Park,81788
