state,city,city_pop,cvs_count,under,under_count
Wyoming,Cheyenne,64235,1,True,1.0
Wyoming,Casper,57931,1,True,1.0
Wisconsin,Racine,76760,2,True,0.0
Wisconsin,Appleton,74098,4,False,-2.0
Wisconsin,West Allis,59890,3,False,-1.0
Wisconsin,Janesville,64575,3,False,-1.0
Wisconsin,Oshkosh,67004,2,True,0.0
Wisconsin,Eau Claire,68802,2,True,0.0
Wisconsin,Waukesha,72299,3,False,-1.0
Wisconsin,Milwaukee,590157,8,True,10.0
Wisconsin,Madison,259680,5,True,3.0
Wisconsin,Green Bay,104578,6,False,-3.0
Wisconsin,Kenosha,99944,3,False,0.0
West Virginia,Charleston,46536,3,False,-2.0
Washington,Kent,132319,1,True,3.0
Washington,Marysville,70298,1,True,1.0
Washington,Richland,58225,1,True,1.0
Washington,Olympia,52882,1,True,1.0
Washington,Lacey,52592,1,True,1.0
Washington,Burien,51500,1,True,1.0
Washington,Redmond,71929,1,True,1.0
Washington,Kennewick,84347,1,True,2.0
Washington,Bellingham,92314,1,True,2.0
Washington,Federal Way,96289,2,True,1.0
Washington,Renton,101751,2,True,1.0
Washington,Everett,111475,2,True,1.0
Washington,Lakewood,61037,2,False,0.0
Washington,Bellevue,148164,1,True,3.0
Washington,Vancouver,184463,2,True,4.0
Washington,Tacoma,217827,1,True,6.0
Washington,Spokane,222081,2,True,5.0
Washington,Seattle,753675,9,True,14.0
Virginia,Norfolk,242742,7,True,0.0
Virginia,Roanoke,99143,8,False,-5.0
Virginia,Hampton,134510,4,True,0.0
Virginia,Portsmouth,94398,3,False,0.0
Virginia,Suffolk,92108,1,True,2.0
Virginia,Lynchburg,82168,6,False,-4.0
Virginia,Harrisonburg,53016,4,False,-2.0
Virginia,Alexandria,159428,19,False,-14.0
Virginia,Richmond,230436,30,False,-23.0
Virginia,Newport News,179225,4,True,1.0
Virginia,Chesapeake,244835,6,True,1.0
Virginia,Virginia Beach,449974,13,True,0.0
Utah,Provo,116618,1,True,2.0
Utah,Herriman,51348,1,True,1.0
Utah,South Jordan,76598,2,True,0.0
Utah,Layton,78014,2,True,0.0
Utah,Sandy,96380,3,False,0.0
Utah,Orem,97828,1,True,2.0
Utah,West Jordan,116480,3,True,0.0
Utah,Ogden,87773,1,True,2.0
Texas,College Station,117911,4,False,0.0
Texas,Conroe,91079,4,False,-1.0
Texas,Cedar Park,79462,3,False,-1.0
Texas,Georgetown,79604,3,False,-1.0
Texas,Longview,81631,3,False,-1.0
Texas,Mission,84331,3,False,0.0
Texas,Bryan,86276,2,True,1.0
Texas,New Braunfels,90209,4,False,-1.0
Texas,San Angelo,101004,2,True,1.0
Texas,Beaumont,116825,5,False,-1.0
Texas,Edinburg,101170,3,True,0.0
Texas,Temple,78439,2,True,0.0
Texas,Allen,105623,6,False,-3.0
Texas,Tyler,106985,5,False,-2.0
Texas,Wichita Falls,104683,2,True,1.0
Texas,Lewisville,109212,5,False,-2.0
Texas,Pharr,79112,1,True,1.0
Texas,Pearland,122460,6,False,-2.0
Texas,Baytown,77192,4,False,-2.0
Texas,Euless,57197,1,True,1.0
Texas,Galveston,50446,3,False,-1.0
Texas,Wylie,53067,3,False,-1.0
Texas,Little Elm,53126,1,True,1.0
Texas,Port Arthur,54280,3,False,-1.0
Texas,Grapevine,55281,4,False,-2.0
Texas,Richardson,121323,6,False,-2.0
Texas,Leander,62608,1,True,1.0
Texas,Mansfield,72419,5,False,-3.0
Texas,San Marcos,64776,3,False,-1.0
Texas,Harlingen,65022,3,False,-1.0
Texas,Pflugerville,65380,3,False,-1.0
Texas,Victoria,66916,2,True,0.0
Texas,Rowlett,67339,3,False,-1.0
Texas,North Richland Hills,70670,2,True,0.0
Texas,Sugar Land,118488,3,True,1.0
Texas,Plano,287677,15,False,-6.0
Texas,Fort Worth,909585,26,True,1.0
Texas,Frisco,200490,8,False,-2.0
Texas,Houston,2320268,91,False,-21.0
Texas,San Antonio,1547253,57,False,-11.0
Texas,Dallas,1343573,53,False,-13.0
Texas,Austin,978908,32,False,-3.0
Texas,Odessa,123334,5,False,-1.0
Texas,El Paso,681728,13,True,7.0
Texas,Arlington,398854,11,True,1.0
Texas,Corpus Christi,326586,12,False,-2.0
Texas,Laredo,262491,5,True,3.0
Texas,Lubbock,258862,11,False,-3.0
Texas,Garland,239928,6,True,1.0
Texas,Irving,239798,8,False,-1.0
Texas,Amarillo,199371,5,True,1.0
Texas,Midland,146038,4,True,0.0
Texas,Abilene,123420,3,True,1.0
Texas,Round Rock,133372,6,False,-2.0
Texas,Waco,139236,3,True,1.0
Texas,Carrollton,139248,5,False,-1.0
Texas,Mesquite,140937,4,True,0.0
Texas,Denton,141541,4,True,0.0
Texas,Pasadena,151227,4,True,1.0
Texas,Killeen,151666,2,True,3.0
Texas,Brownsville,182781,5,True,0.0
Texas,Grand Prairie,194543,5,True,1.0
Tennessee,Jackson,67191,2,True,0.0
Tennessee,Chattanooga,182799,11,False,-6.0
Tennessee,Knoxville,187603,16,False,-10.0
Tennessee,Memphis,651073,9,True,11.0
Tennessee,Nashville,670820,13,True,7.0
Tennessee,Murfreesboro,146900,4,True,0.0
Tennessee,Bartlett,59440,1,True,1.0
Tennessee,Hendersonville,58113,2,False,0.0
Tennessee,Kingsport,54127,5,False,-3.0
Tennessee,Franklin,83097,5,False,-3.0
South Dakota,Sioux Falls,183793,2,True,4.0
South Carolina,Charleston,137566,10,False,-6.0
South Carolina,Rock Hill,75048,4,False,-2.0
South Carolina,Greenville,70635,12,False,-10.0
South Carolina,North Charleston,115382,4,False,-1.0
South Carolina,Columbia,131674,17,False,-13.0
Rhode Island,Pawtucket,72117,3,False,-1.0
Rhode Island,Warwick,81004,6,False,-4.0
Rhode Island,Cranston,81456,5,False,-3.0
Rhode Island,Providence,179883,8,False,-3.0
Puerto Rico,Guaynabo,81360,2,True,0.0
Puerto Rico,San Juan,418140,3,True,10.0
Puerto Rico,Bayamon,203499,4,True,2.0
Puerto Rico,Carolina,170404,3,True,2.0
Puerto Rico,Ponce,152634,1,True,4.0
Puerto Rico,Caguas,86804,1,True,2.0
Pennsylvania,Reading,88375,6,False,-3.0
Pennsylvania,Lancaster,59265,12,False,-10.0
Pennsylvania,Bethlehem,75815,6,False,-4.0
Pennsylvania,Scranton,76653,4,False,-2.0
Pennsylvania,Erie,95508,8,False,-5.0
Pennsylvania,Allentown,121442,10,False,-6.0
Pennsylvania,Pittsburgh,300286,19,False,-10.0
Pennsylvania,Philadelphia,1584064,60,False,-12.0
Oregon,Beaverton,99037,2,True,1.0
Oregon,Albany,55338,1,True,1.0
Oregon,Tigard,55514,1,True,1.0
Oregon,Springfield,63230,1,True,1.0
Oregon,Medford,83072,1,True,1.0
Oregon,Eugene,172622,1,True,4.0
Oregon,Hillsboro,109128,1,True,2.0
Oregon,Salem,174365,1,True,4.0
Oregon,Portland,654741,8,True,12.0
Oklahoma,Tulsa,401190,14,False,-2.0
Oklahoma,Norman,124880,5,False,-1.0
Oklahoma,Broken Arrow,110198,4,False,-1.0
Oklahoma,Edmond,94054,6,False,-3.0
Oklahoma,Lawton,93025,3,False,0.0
Oklahoma,Moore,62055,3,False,-1.0
Oklahoma,Stillwater,50299,1,True,1.0
Oklahoma,Enid,49688,1,True,0.0
Ohio,Kettering,54855,1,True,1.0
Ohio,Hamilton,62082,4,False,-2.0
Ohio,Springfield,58877,3,False,-1.0
Ohio,Youngstown,65469,1,True,1.0
Ohio,Elyria,53757,2,False,0.0
Ohio,Newark,50315,3,False,-1.0
Ohio,Lakewood,49678,2,False,-1.0
Ohio,Lorain,63855,1,True,1.0
Ohio,Cleveland,381009,14,False,-3.0
Ohio,Canton,70447,2,True,0.0
Ohio,Dayton,140407,10,False,-6.0
Ohio,Akron,197597,9,False,-3.0
Ohio,Toledo,272779,3,True,5.0
Ohio,Cincinnati,303940,19,False,-10.0
Ohio,Parma,78103,3,False,-1.0
Ohio,Columbus,898553,34,False,-7.0
North Dakota,Bismarck,73529,2,True,0.0
North Dakota,Grand Forks,55839,1,True,1.0
North Dakota,Fargo,124662,2,True,2.0
North Carolina,Concord,96341,5,False,-2.0
North Carolina,Kannapolis,50841,1,True,1.0
North Carolina,Rocky Mount,53922,3,False,-1.0
North Carolina,Burlington,54606,3,False,-1.0
North Carolina,Jacksonville,72436,3,False,-1.0
North Carolina,Gastonia,77273,6,False,-4.0
North Carolina,Asheville,92870,8,False,-5.0
North Carolina,Greenville,93400,4,False,-1.0
North Carolina,High Point,112791,4,False,-1.0
North Carolina,Wilmington,123744,10,False,-6.0
North Carolina,Fayetteville,211657,8,False,-2.0
North Carolina,Durham,278993,10,False,-2.0
North Carolina,Greensboro,296710,14,False,-5.0
North Carolina,Raleigh,474069,19,False,-5.0
North Carolina,Charlotte,885708,39,False,-12.0
New York,New Rochelle,78557,5,False,-3.0
New York,Niagara Falls,47720,2,False,-1.0
New York,Troy,49154,3,False,-2.0
New York,White Plains,58109,6,False,-4.0
New York,Schenectady,65273,7,False,-5.0
New York,Mount Vernon,67345,3,False,-1.0
New York,Rochester,205695,12,False,-6.0
New York,Albany,96460,8,False,-5.0
New York,Syracuse,142327,3,True,1.0
New York,Yonkers,200370,7,False,-1.0
New York,Buffalo,255284,4,True,4.0
New York,New York,8336817,59,True,191.0
New Mexico,Las Cruces,103432,2,True,1.0
New Mexico,Rio Rancho,99178,1,True,2.0
New Mexico,Santa Fe,84683,3,False,0.0
New Mexico,Albuquerque,560513,13,True,4.0
New Jersey,Passaic,69703,1,True,1.0
New Jersey,Hoboken,52677,3,False,-1.0
New Jersey,East Orange,64367,1,True,1.0
New Jersey,Bayonne,64897,1,True,1.0
New Jersey,Union,67982,4,False,-2.0
New Jersey,Vineland,59439,3,False,-1.0
New Jersey,Trenton,83203,2,True,0.0
New Jersey,Clifton,85052,4,False,-1.0
New Jersey,Elizabeth,129216,3,True,1.0
New Jersey,Newark,282011,2,True,6.0
New Hampshire,Manchester,112673,3,True,0.0
New Hampshire,Nashua,89355,5,False,-2.0
Nevada,Las Vegas,651319,53,False,-33.0
Nevada,Henderson,320189,13,False,-3.0
Nevada,Reno,255601,12,False,-4.0
Nevada,North Las Vegas,251974,7,True,1.0
Nevada,Sparks,105006,5,False,-2.0
Nebraska,Lincoln,289102,9,False,0.0
Nebraska,Grand Island,51267,1,True,1.0
Nebraska,Bellevue,53544,2,False,0.0
Nebraska,Omaha,478192,13,True,1.0
Montana,Billings,109577,6,False,-3.0
Montana,Missoula,75516,2,True,0.0
Montana,Great Falls,58434,1,True,1.0
Missouri,Blue Springs,55829,4,False,-2.0
Missouri,Springfield,167882,6,False,-1.0
Missouri,Columbia,123195,2,True,2.0
Missouri,Independence,116672,6,False,-2.0
Missouri,Florissant,50952,8,False,-6.0
Missouri,Joplin,50925,2,False,0.0
Mississippi,Gulfport,71705,3,False,-1.0
Mississippi,Southaven,55780,3,False,-1.0
Mississippi,Jackson,160628,5,False,0.0
Minnesota,Coon Rapids,62998,4,False,-2.0
Minnesota,Blaine,65607,2,False,0.0
Minnesota,Edina,52857,2,False,0.0
Minnesota,Eden Prairie,64893,2,False,0.0
Minnesota,Lakeville,67317,3,False,-1.0
Minnesota,Burnsville,61339,2,False,0.0
Minnesota,Apple Valley,55135,4,False,-2.0
